,potential_total_value_of_award,awarding_office_name,funding_office_name,foreign_funding,recipient_city_name,recipient_county_name,recipient_state_code,recipient_zip_4_code,primary_place_of_performance_city_name,prime_award_transaction_place_of_performance_county_fips_code,prime_award_transaction_place_of_performance_state_fips_code,primary_place_of_performance_zip_4,award_type,type_of_contract_pricing,number_of_actions,product_or_service_code,contract_bundling,naics_code,recovered_materials_sustainability,domestic_or_foreign_entity,epa_designated_product,country_of_product_or_service_origin,place_of_manufacture,extent_competed,solicitation_procedures,commercial_item_acquisition_procedures,small_business_competitiveness_demonstration_program,simplified_procedures_for_certain_commercial_items,local_area_set_aside,clinger_cohen_act_planning,labor_standards,contracting_officers_determination_of_business_size,labor_surplus_area_firm,contingency_humanitarian_or_peacekeeping_operation,alaskan_native_corporation_owned_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_organization_owned_firm,tribally_owned_firm,veteran_owned_business,service_disabled_veteran_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,joint_venture_women_owned_small_business,joint_venture_economic_disadvantaged_women_owned_small_bus,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,contracting_officers_determination_of_business_size_code,emerging_small_business,community_developed_corporation_owned_firm,us_federal_government,federally_funded_research_and_development_corp,federal_agency,us_state_government,us_local_government,city_local_government,county_local_government,inter_municipal_local_government,local_government_owned,municipality_local_government,school_district_local_government,township_local_government,us_tribal_government,foreign_government,organizational_type,corporate_entity_not_tax_exempt,corporate_entity_tax_exempt,partnership_or_limited_liability_partnership,sole_proprietorship,small_agricultural_cooperative,international_organization,us_government_entity,community_development_corporation,domestic_shelter,educational_institution,foundation,hospital_flag,manufacturer_of_goods,veterinary_hospital,hispanic_servicing_institution,receives_contracts,receives_financial_assistance,receives_contracts_and_financial_assistance,airport_authority,council_of_governments,housing_authorities_public_tribal,interstate_entity,planning_commission,port_authority,transit_authority,subchapter_scorporation,limited_liability_corporation,foreign_owned,for_profit_organization,nonprofit_organization,other_not_for_profit_organization,the_ability_one_program,private_university_or_college,state_controlled_institution_of_higher_learning,1862_land_grant_college,1890_land_grant_college,1994_land_grant_college,minority_institution,historically_black_college,tribal_college,alaskan_native_servicing_institution,native_hawaiian_servicing_institution,school_of_forestry,veterinary_college,dot_certified_disadvantage,self_certified_small_disadvantaged_business,small_disadvantaged_business,c8a_program_participant,historically_underutilized_business_zone_hubzone_firm,sba_certified_8a_joint_venture,action_date,period_of_performance_start_date
119,157500.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,CHANTILLY,FAIRFAX,VA,201513870,AMBLER,42091.0,42.0,190020126.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F115,NOT BUNDLED,541620.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-09,2022-12-09
120,170953.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,CHANTILLY,FAIRFAX,VA,201511117,CHANTILLY,51059.0,51.0,201511117.0,BPA CALL,FIRM FIXED PRICE,1.0,R408,NOT BUNDLED,541620.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,PRODUCTS OR SERVICES PURSUANT TO FAR 12.102(F),0,NO,NO,NO,YES,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-22,2022-12-23
121,25000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,FENTON,29189.0,29.0,630262926.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-21,2022-12-21
122,299012.54,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,ANCHORAGE,ANCHORAGE,AK,995035831,PHILADELPHIA,42101.0,42.0,191032852.0,BPA CALL,LABOR HOURS,1.0,DF10,NOT BUNDLED,541511.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,NO,SMALL BUSINESS,0,NOT APPLICABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2023-01-31,2023-01-31
123,12000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,FENTON,29189.0,29.0,630262926.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F999,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-12-21,2022-12-21
124,533714.28,REGION 3 CONTRACTING OFFICE,REGION 2 (FUNDING OFFICE),X,CHANTILLY,FAIRFAX,VA,201513870,CHANTILLY,51059.0,51.0,201513870,DELIVERY ORDER,FIRM FIXED PRICE,1.0,F115,NOT BUNDLED,541620.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-14,2022-12-22
125,19000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,MOSELEY,51041.0,51.0,231201107.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-06,2023-01-06
126,1830266.47,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,UPPER MARLBORO,PRINCE GEORGE'S,MD,207748758,FORT GEORGE G MEADE,24003.0,24.0,207555350.0,DELIVERY ORDER,FIRM FIXED PRICE,1.0,DC01,NOT BUNDLED,541511.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,NO,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2023-04-26,2023-03-01
127,25000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,BIG ISLAND,51019.0,51.0,245263394.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-20,2023-01-20
128,50000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,PHILADELPHIA,42101.0,42.0,191032009.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-26,2023-01-20
129,4609011.5,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,HUNT VALLEY,BALTIMORE,MD,210311124,HUNT VALLEY,24005.0,24.0,210311124.0,DELIVERY ORDER,FIRM FIXED PRICE,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-11,2023-02-14
130,5337906.81,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,ENGLEWOOD,DOUGLAS,CO,801125936,ENGLEWOOD,8035.0,8.0,801125936.0,DELIVERY ORDER,FIRM FIXED PRICE,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-07-11,2023-04-03
131,98491.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,HUNT VALLEY,BALTIMORE,MD,210311124,HUNT VALLEY,24005.0,24.0,210311124.0,DELIVERY ORDER,FIRM FIXED PRICE,1.0,F103,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,YES,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-04-18,2023-04-18
132,669823.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,ANCHORAGE,ANCHORAGE,AK,995035831,ANNAPOLIS,24003.0,24.0,214014211.0,BPA CALL,TIME AND MATERIALS,1.0,DF10,NOT BUNDLED,541511.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,NO,SMALL BUSINESS,0,NOT APPLICABLE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2023-03-09,2023-04-17
133,414016.18,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FAIRFAX,FAIRFAX,VA,220316050,FORT GEORGE G MEADE,24003.0,24.0,207553524.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,B504,NOT BUNDLED,541380.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-27,2023-02-18
134,1071290.82,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FAIRFAX,FAIRFAX,VA,220316050,FORT GEORGE G MEADE,24003.0,24.0,207553524.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,B504,NOT BUNDLED,541380.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-09-27,2023-02-17
135,142886.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FAIRFAX,FAIRFAX,VA,220316050,FORT GEORGE G MEADE,24003.0,24.0,207553524,DELIVERY ORDER,TIME AND MATERIALS,1.0,B504,NOT BUNDLED,541380.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-15,2023-02-18
136,142420.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FAIRFAX,FAIRFAX,VA,220316050,FORT GEORGE G MEADE,24003.0,24.0,207553524.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,B504,NOT BUNDLED,541380.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NO,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,OTHER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-15,2023-02-18
137,319901.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,CHANTILLY,FAIRFAX,VA,201511117,CHANTILLY,51059.0,51.0,201511117.0,BPA CALL,FIRM FIXED PRICE,1.0,R408,NOT BUNDLED,541620.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,PRODUCTS OR SERVICES PURSUANT TO FAR 12.102(F),0,NO,NO,NO,YES,OTHER THAN SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-14,2023-02-14
138,1500000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,FENTON,29189.0,29.0,630262926.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F108,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,NOT REQUIRED,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-14,2023-02-14
139,61634.92,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,WASHINGTON,DISTRICT OF COLUMBIA,DC,200363109,WASHINGTON,11001.0,11.0,200363109.0,DELIVERY ORDER,FIRM FIXED PRICE,1.0,R425,NOT BUNDLED,541611.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,JUSTIFICATION - PRICE,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,COMMERCIAL PRODUCTS/SERVICES,0,NO,NO,NO,YES,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-08-02,2023-02-15
140,100000.0,REGION 3 CONTRACTING OFFICE,REGION 3 (FUNDING OFFICE),X,FENTON,ST. LOUIS,MO,630262926,FENTON,29189.0,29.0,630262926.0,DELIVERY ORDER,TIME AND MATERIALS,1.0,F999,NOT BUNDLED,562910.0,NO CLAUSES INCLUDED AND NO SUSTAINABILITY INCLUDED,U.S. OWNED BUSINESS,MEETS REQUIREMENTS,UNITED STATES,NOT A MANUFACTURED END PRODUCT,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,NEGOTIATED PROPOSAL/QUOTE,COMMERCIAL PRODUCTS/SERVICES PROCEDURES NOT USED,0,NO,NO,NO,NOT APPLICABLE,SMALL BUSINESS,0,NOT APPLICABLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CORPORATE NOT TAX EXEMPT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-02-16,2023-02-16
